date,week,holiday
2025-01-04,202501,""
2025-01-05,202501,""
2025-01-01,202501,New Year
2025-01-02,202501,""
2025-01-03,202501,""
2025-01-08,202502,""
2025-01-10,202502,""
2025-01-07,202502,""
2025-01-09,202502,""
2025-01-06,202502,""
2025-01-12,202502,""
2025-01-11,202502,Children Day
2025-01-16,202503,""
2025-01-18,202503,""
2025-01-19,202503,""
2025-01-15,202503,""
2025-01-17,202503,""
2025-01-13,202503,""
2025-01-14,202503,""
2025-01-24,202504,""
2025-01-21,202504,""
2025-01-26,202504,""
2025-01-23,202504,""
2025-01-20,202504,""
2025-01-25,202504,""
2025-01-22,202504,""
2025-01-30,202505,""
2025-02-02,202505,""
2025-01-29,202505,CNY
2025-01-28,202505,CNY
2025-02-01,202505,""
2025-01-27,202505,CNY
2025-01-31,202505,""
2025-02-03,202506,""
2025-02-04,202506,""
2025-02-07,202506,""
2025-02-08,202506,""
2025-02-09,202506,""
2025-02-06,202506,""
2025-02-05,202506,""
2025-02-12,202507,Maka Bucha
2025-02-15,202507,""
2025-02-14,202507,Valentine's Day
2025-02-13,202507,""
2025-02-10,202507,""
2025-02-11,202507,""
2025-02-16,202507,""
2025-02-22,202508,""
2025-02-19,202508,""
2025-02-21,202508,""
2025-02-23,202508,""
2025-02-18,202508,""
2025-02-20,202508,""
2025-02-17,202508,""
2025-02-28,202509,""
2025-02-25,202509,""
2025-02-26,202509,""
2025-02-24,202509,""
2025-03-01,202509,""
2025-03-02,202509,""
2025-02-27,202509,""
2025-03-09,202510,""
2025-03-07,202510,""
2025-03-03,202510,""
2025-03-08,202510,""
2025-03-04,202510,""
2025-03-06,202510,""
2025-03-05,202510,""
2025-03-11,202511,""
2025-03-10,202511,""
2025-03-16,202511,""
2025-03-13,202511,""
2025-03-12,202511,""
2025-03-14,202511,""
2025-03-15,202511,""
2025-03-17,202512,""
2025-03-18,202512,""
2025-03-19,202512,""
2025-03-22,202512,""
2025-03-23,202512,""
2025-03-21,202512,""
2025-03-20,202512,""
2025-03-28,202513,""
2025-03-25,202513,""
2025-03-27,202513,""
2025-03-29,202513,""
2025-03-26,202513,""
2025-03-24,202513,""
2025-03-30,202513,""
2025-04-04,202514,Cheng Meng
2025-04-03,202514,""
2025-04-02,202514,""
2025-04-05,202514,""
2025-03-31,202514,""
2025-04-01,202514,""
2025-04-06,202514,Chakri Day
2025-04-08,202515,""
2025-04-09,202515,""
2025-04-13,202515,SongKran Day
2025-04-11,202515,""
2025-04-07,202515,Sub Chakri Day
2025-04-10,202515,""
2025-04-12,202515,""
2025-04-17,202516,""
2025-04-16,202516,Sub-Songkran Day
2025-04-20,202516,""
2025-04-15,202516,SongKran Day
2025-04-18,202516,""
2025-04-14,202516,SongKran Day
2025-04-19,202516,""
2024-01-04,202401,""
