date,keyword_th,subcategory,item_id
2025-05-07,หมู,PORK,7641
2025-05-07,หมู,PORK,9827269
2025-05-07,หมู,PORK,17480981
2025-05-07,หมู,PORK,23448938
2025-05-07,หมู,PORK,25166921
2025-05-07,หมู,PORK,50999037
2025-05-07,หมู,CP SHOP IN SHOP PORK,51190099
2025-05-07,หมู,CP SHOP IN SHOP PORK,51232143
2025-05-07,หมู,B2B-PORK,51261701
2025-05-07,หมู,CP SHOP IN SHOP PORK,51263083
2025-05-07,หมู,CP SHOP IN SHOP PORK,51263411
2025-05-07,หมู,CP SHOP IN SHOP PORK,51263492
2025-05-07,หมู,CP SHOP IN SHOP PORK,51264151
2025-05-07,หมู,CP SHOP IN SHOP PORK,51264243
2025-05-07,หมู,B2B-PORK,51269537
2025-05-07,หมู,B2B-PORK,51273105
2025-05-07,หมู,CP SHOP IN SHOP PORK,51273819
2025-05-07,หมู,CP SHOP IN SHOP PORK,51273848
2025-05-07,หมู,CP SHOP IN SHOP PORK,51273969
2025-05-07,หมู,CP SHOP IN SHOP PORK,51274628
2025-05-07,หมู,CP SHOP IN SHOP PORK,51274634
2025-05-07,หมู,CP SHOP IN SHOP PORK,51274755
2025-05-07,หมู,CP SHOP IN SHOP PORK,51318768
2025-05-07,หมู,CP SHOP IN SHOP PORK,51331711
2025-05-07,หมู,PORK,51355648
2025-05-07,หมู,CP SHOP IN SHOP PORK,51361681
2025-05-07,หมู,CP SHOP IN SHOP PORK,51378120
2025-05-07,หมู,CP SHOP IN SHOP PORK,51395370
2025-05-07,หมู,CP SHOP IN SHOP PORK,51423447
2025-05-07,หมู,CP SHOP IN SHOP PORK,51433084
2025-05-07,หมู,PORK,51541059
2025-05-07,หมู,B2B-PORK,51613318
2025-05-07,หมู,CP SHOP IN SHOP PORK,51622119
2025-05-07,หมู,B2B-PORK,52165883
2025-05-07,หมู,B2B-PORK,52457722
2025-05-07,หมู,B2B-PORK,52460556
2025-05-07,หมู,B2B-PORK,52511301
2025-05-07,หมู,B2B-PORK,52511318
2025-05-07,หมู,B2B-PORK,52586563
2025-05-07,หมู,B2B-PORK,52586661
2025-05-07,หมู,PORK,52656233
2025-05-07,หมู,B2B-PORK,52682276
2025-05-07,หมู,PORK,70199272
2025-05-07,หมู,PORK,72195525
2025-05-07,หมู,PORK,72195576
2025-05-07,หมู,PORK,72547065
2025-05-07,หมู,PORK,73226742
2025-05-07,หมู,PORK,74304046
2025-05-07,หมู,PORK,74753444
2025-05-07,หมู,PORK,74753606
2025-05-07,หมู,PORK,74753622
2025-05-07,หมู,PORK,74798545
2025-05-07,หมู,B2B-PORK,75538369
2025-05-07,หมู,PORK,75542720
2025-05-07,หมู,CP SHOP IN SHOP PORK,75578596
2025-05-07,หมู,PORK,75592790
2025-05-07,หมู,CP SHOP IN SHOP PORK,75611079
2025-05-07,หมู,B2B-PORK,75615405
2025-05-07,หมู,CP SHOP IN SHOP PORK,75617283
2025-05-07,หมู,CP SHOP IN SHOP PORK,75617284
2025-05-07,หมู,B2B-PORK,75634547
2025-05-07,หมู,B2B-PORK,75634551
2025-05-07,หมู,B2B-PORK,75634567
2025-05-07,หมู,B2B-PORK,75634570
2025-05-07,หมู,B2B-PORK,75634572
